filename,style,age,race
female_photo_06_working_age_37_r5c1.png,,YoungAdult,White
female_photo_06_working_age_38_r5c2.png,,YoungAdult,Asian
female_photo_06_working_age_39_r5c3.png,,YoungAdult,White
female_photo_06_working_age_40_r5c4.png,,YoungAdult,White
female_photo_06_working_age_41_r5c5.png,,YoungAdult,White
female_photo_06_working_age_42_r5c6.png,,YoungAdult,MiddleEastern
female_photo_06_working_age_43_r5c7.png,,YoungAdult,MiddleEastern
female_photo_06_working_age_44_r5c8.png,,YoungAdult,MiddleEastern
female_photo_06_working_age_45_r5c9.png,,YoungAdult,Asian
female_photo_06_working_age_46_r6c1.png,,YoungAdult,White
female_photo_06_working_age_47_r6c2.png,,YoungAdult,White
female_photo_06_working_age_48_r6c3.png,,YoungAdult,White
female_photo_06_working_age_49_r6c4.png,,YoungAdult,White
female_photo_06_working_age_50_r6c5.png,,YoungAdult,White
female_photo_06_working_age_51_r6c6.png,,Adult,White
female_photo_06_working_age_52_r6c7.png,,YoungAdult,Asian
female_photo_06_working_age_53_r6c8.png,,YoungAdult,Asian
female_photo_06_working_age_54_r6c9.png,,YoungAdult,White
female_photo_06_working_age_55_r7c1.png,,YoungAdult,White
female_photo_06_working_age_56_r7c2.png,,Adult,White
female_photo_06_working_age_57_r7c3.png,,YoungAdult,Asian
female_photo_06_working_age_58_r7c4.png,,Adult,Asian
female_photo_06_working_age_59_r7c5.png,,YoungAdult,Asian
female_photo_06_working_age_60_r7c6.png,,YoungAdult,White
female_photo_06_working_age_61_r7c7.png,,YoungAdult,Asian
female_photo_06_working_age_62_r7c8.png,,YoungAdult,Asian
female_photo_06_working_age_63_r7c9.png,,YoungAdult,Asian
female_photo_06_working_age_64_r8c1.png,,Adult,White
female_photo_06_working_age_65_r8c2.png,,YoungAdult,Hispanic
female_photo_06_working_age_66_r8c3.png,,YoungAdult,Asian
female_photo_06_working_age_67_r8c4.png,,YoungAdult,White
female_photo_06_working_age_68_r8c5.png,,YoungAdult,White
female_photo_06_working_age_69_r8c6.png,,YoungAdult,White
female_photo_06_working_age_70_r8c7.png,,YoungAdult,Asian
female_photo_06_working_age_71_r8c8.png,,YoungAdult,White
